Time Code,"Country Code","SP.RUR.TOTL.ZG","EN.ATM.METH.AG.KT.CE","SP.POP.TOTL"
YR2010,"AFG","2.2388680945065","NA","27962207"
YR2010,"ALB","-2.7432914932117","1574.1","2913021"
YR2010,"DZA","-0.368680237811589","4872.2","36036159"
YR2010,"ASM","-0.217092494263596","NA","55636"
YR2010,"ADO","3.25111385995749","NA","84419"
YR2010,"AGO","2.03033147529172","4188","21219954"
YR2010,"ATG","1.86516673758294","NA","87233"
YR2010,"ARG","-0.840692743105583","62569.4","41222875"
YR2010,"ARM","0.487424816662534","1051.7","2963496"
YR2010,"ABW","0.815764308646692","NA","101597"
YR2010,"AUS","0.294270930117972","64950.2","22031750"
YR2010,"AUT","0.225749951713248","4018.8","8363404"
YR2010,"AZE","0.738017050034006","5691.1","9054332"
YR2010,"BHS","1.38162617367698","NA","360830"
YR2010,"BHR","4.94788045193905","17.7","1261319"
YR2010,"BGD","0.0578392251647881","70353.4","151616777"
YR2010,"BRB","0.652338707619824","NA","279566"
YR2010,"BLR","-1.90907069619724","8487.5","9490000"
YR2010,"BEL","-0.833059499763523","5515.6","10920272"
YR2010,"BLZ","2.90849139567793","NA","321609"
YR2010,"BEN","2.19384261687066","3044.3","9509798"
YR2010,"BMU","NA","NA","65124"
YR2010,"BTN","0.545292080358149","NA","720246"
YR2010,"BOL","0.333352592753877","10567.7","9918245"
YR2010,"BIH","-0.135181708762218","1307.1","3835258"
YR2010,"BWA","1.47699059908259","3536.6","2047831"
YR2010,"BRA","-0.872803040477395","327166.2","198614208"
YR2010,"BRN","0.071661883619938","14.4","393302"
YR2010,"BGR","-1.87473860071511","1771.6","7395599"
YR2010,"BFA","1.9080816377182","NA","15632066"
YR2010,"BDI","3.18112448267008","NA","9461117"
YR2010,"CPV","-1.35957603543853","NA","490379"
YR2010,"KHM","1.35878030932424","21432.3","14363586"
YR2010,"CMR","1.33317506954082","11617.5","20590666"
YR2010,"CAN","0.179337487708787","27019.3","34005274"
YR2010,"CYM","NA","NA","55509"
YR2010,"CAF","1.58912318418484","NA","4444973"
YR2010,"TCD","3.23436294695381","NA","11896380"
YR2010,"CHI","0.519405948065427","NA","159583"
YR2010,"CHL","-0.737964160949797","7883.7","17015048"
YR2010,"CHN","-2.13347423873235","589862.1","1337705000"
YR2010,"COL","-0.0442107805188224","43791","45918101"
YR2010,"COM","2.3911941960492","NA","698695"
YR2010,"ZAR","2.39757930451306","18414.8","65938712"
YR2010,"COG","1.68155295718155","1647.6","4066078"
YR2010,"CRI","-2.76307066797893","1509.2","4545273"
YR2010,"CIV","0.724924054043683","2375.2","20131707"
YR2010,"HRV","-0.842425611667415","1331.3","4417781"
YR2010,"CUB","-0.297767943080399","5070.2","11308133"
YR2010,"CUW","2.5570629162485","NA","148703"
YR2010,"CYP","1.64780190670387","217.6","1103685"
YR2010,"CZE","0.549702005509898","3389.3","10474410"
YR2010,"DNK","-0.617821850291543","5222.8","5547683"
YR2010,"DJI","1.07102549308341","NA","830802"
YR2010,"DMA","-0.675915494669384","NA","71167"
YR2010,"DOM","-3.18578739323899","3952.7","9897983"
YR2010,"ECU","1.12178370054386","10345.8","14934692"
YR2010,"EGY","2.00281736043144","13289.1","82040994"
YR2010,"SLV","-1.14527188662482","1602","6038306"
YR2010,"GNQ","2.8381207011441","NA","728710"
YR2010,"ERI","1.61106944500695","1829.8","4689664"
YR2010,"EST","0.176937195776651","641.8","1331475"
YR2010,"ETH","2.12113949343713","44589.6","87561814"
YR2010,"FRO","-0.424333703384309","NA","48567"
YR2010,"FJI","0.143975983784447","NA","859952"
YR2010,"FIN","-0.324022414816658","1943.6","5363352"
YR2010,"FRA","-0.603584273924946","35239.3","65027512"
YR2010,"PYF","1.29146481024021","NA","268065"
YR2010,"GAB","-0.386026605146405","174.1","1541936"
YR2010,"GMB","1.56428775232598","NA","1693002"
YR2010,"GEO","0.636141332962812","2363.1","4452800"
YR2010,"DEU","-0.920407396617643","28564.5","81776930"
YR2010,"GHA","1.14331130548752","11776.8","24317734"
YR2010,"GRC","-1.8081470073216","3622.4","11153454"
YR2010,"GRL","-0.851545761888652","NA","56905"
YR2010,"GRD","0.436139154140329","NA","104677"
YR2010,"GUM","-1.01512979157639","NA","159440"
YR2010,"GTM","1.29345774872473","3521.2","14732261"
YR2010,"GIN","2.07269311193253","NA","11012406"
YR2010,"GNB","0.720983010033116","NA","1634196"
YR2010,"GUY","0.322371747455521","NA","753362"
YR2010,"HTI","-1.58648453033793","2230.5","9999617"
YR2010,"HND","0.334990728098858","4399.5","7503875"
YR2010,"HKG","NA","0","7024200"
YR2010,"HUN","-1.79673716739543","2250","10000023"
YR2010,"ISL","-1.90016707487805","212.4","318041"
YR2010,"IND","0.878982339799676","377589.2","1230984504"
YR2010,"IDN","-0.273489205000454","94321.1","241613126"
YR2010,"IRN","-0.763164449695954","21593","74253373"
YR2010,"IRQ","2.77646820143523","3168.9","30868156"
YR2010,"IRL","-0.162783956799371","10893","4560155"
YR2010,"IMY","0.890769490218876","NA","84327"
YR2010,"ISR","1.08348944252337","1145.5","7623600"
YR2010,"ITA","-0.0642725027059403","15599.7","59277417"
YR2010,"JAM","-0.04995963975546","639.3","2690824"
YR2010,"JPN","-7.88074534009153","29545.4","128070000"
YR2010,"JOR","0.757332158695643","397.6","6046000"
YR2010,"KAZ","1.79335357235065","14695.5","16321581"
YR2010,"KEN","2.15294289067727","14809.4","40328313"
YR2010,"KIR","1.92604636690064","NA","102648"
YR2010,"PRK","0.295725947803369","4370.1","24500506"
YR2010,"KOR","-0.094381645454855","13194.7","49410366"
YR2010,"KSV","NA","0","1775680"
YR2010,"KWT","5.14289851751961","162.8","3059473"
YR2010,"KGZ","1.1635172446906","2978.9","5447900"
YR2010,"LAO","0.0429291647911924","NA","6260544"
YR2010,"LVA","-1.85815095163745","755.9","2097555"
YR2010,"LBN","2.70937062351764","280","4337156"
YR2010,"LSO","0.354051815565203","NA","2010586"
YR2010,"LBR","2.82207875725797","NA","3957990"
YR2010,"LBY","0.187771879537105","896.8","6265697"
YR2010,"LIE","0.815459329009099","NA","36276"
YR2010,"LTU","-1.84099707334414","1832.4","3097282"
YR2010,"LUX","-1.34636664119179","1021.4","506953"
YR2010,"MAC","NA","NA","534626"
YR2010,"MKD","0.298862749639882","598.2","2062443"
YR2010,"MDG","1.88600683177196","NA","21079532"
YR2010,"MWI","2.89597325096801","NA","14769824"
YR2010,"MYS","-1.1929319878639","5540.3","28119500"
YR2010,"MDV","-0.206202151099584","NA","332575"
YR2010,"MLI","1.93031924079855","NA","15167286"
YR2010,"MLT","-2.80904822284887","41","414508"
YR2010,"MHL","-0.775737356032797","NA","52428"
YR2010,"MRT","0.960747511864002","NA","3591400"
YR2010,"MUS","0.588538725338674","NA","1250400"
YR2010,"MEX","0.19586190839266","55386.8","118617542"
YR2010,"FSM","-0.319928846970057","NA","103619"
YR2010,"MDA","-0.00911742092732897","804.4","3562045"
YR2010,"MCO","NA","NA","36845"
YR2010,"MNG","-1.39677558265673","4793.5","2712657"
YR2010,"MNE","-0.297901371292565","0","619428"
YR2010,"MAR","0.0351876258616182","5779.1","32107739"
YR2010,"MOZ","2.50513823342369","2076.1","24321457"
YR2010,"MMR","-0.056287637504027","59334","51733013"
YR2010,"NAM","0.176460336752989","4567","2193643"
YR2010,"NPL","0.652754375165851","19184.8","26875910"
YR2010,"NLD","-5.62452528094786","9687.8","16615394"
YR2010,"NCL","-0.451209272621436","NA","250000"
YR2010,"NZL","0.98889291275078","25412.4","4350700"
YR2010,"NIC","0.592146246208405","4656","5737722"
YR2010,"NER","3.64471328795774","NA","16291990"
YR2010,"NGA","1.11525459317971","35660.6","159424742"
YR2010,"MNP","-1.97369082519876","NA","53860"
YR2010,"NOR","-0.118353511259016","2060.5","4889252"
YR2010,"OMN","4.23119868486807","551.8","2943747"
YR2010,"PAK","1.46933102899163","94988.3","170043918"
YR2010,"PLW","-4.95306617337794","NA","20470"
YR2010,"PAN","0.882814658028652","2700.6","3620506"
YR2010,"PNG","2.29116054223836","NA","6847517"
YR2010,"PRY","0.784439312217589","13169.2","6209877"
YR2010,"PER","-0.285394877772306","11539.4","29373644"
YR2010,"PHL","2.00551298772407","34708.1","93038902"
YR2010,"POL","0.00118970102042262","15139.4","38042794"
YR2010,"PRT","-1.47167181941218","4113.1","10573100"
YR2010,"PRI","0.454023856162184","NA","3721527"
YR2010,"QAT","-2.49123943910638","125.9","1765513"
YR2010,"ROM","-0.877285072920264","8495.1","20246871"
YR2010,"RUS","-0.125982198575007","40552.8","142849449"
YR2010,"RWA","1.38910301158275","NA","10293669"
YR2010,"WSM","0.994992729656997","NA","186029"
YR2010,"SMR","0.552487593196981","NA","30690"
YR2010,"STP","0.301561887121496","NA","170880"
YR2010,"SAU","1.25079570718754","1812.5","28090647"
YR2010,"SEN","2.50127781764768","6199.1","12956791"
YR2010,"SRB","-0.511339008082924","2391.7","7291436"
YR2010,"SYC","2.21102664715301","NA","89770"
YR2010,"SLE","1.76252806201223","NA","5775902"
YR2010,"SGP","NA","36.9","5076700"
YR2010,"SXM","NA","NA","35474"
YR2010,"SVK","0.701930502858261","1276.7","5391428"
YR2010,"SVN","0.622369809668134","1039.4","2048583"
YR2010,"SLB","1.61993818232309","NA","526177"
YR2010,"SOM","1.68249848766258","NA","9581714"
YR2010,"ZAF","0.0642201823458085","20083.6","50791808"
YR2010,"SSD","4.21450330244396","NA","10056475"
YR2010,"ESP","-0.610014047890767","19993.6","46576897"
YR2010,"LKA","1.0024609965974","7775.6","20653000"
YR2010,"KNA","1.23444440011622","NA","52352"
YR2010,"LCA","2.18804478911899","NA","177397"
YR2010,"MAF","NA","NA","30235"
YR2010,"VCT","-0.639184592437274","NA","109316"
YR2010,"SDN","2.15547190008585","81227.3","36114885"
YR2010,"SUR","1.29282790591017","NA","518141"
YR2010,"SWZ","1.7625003308028","NA","1193148"
YR2010,"SWE","-0.172740981094966","3144.6","9378126"
YR2010,"CHE","0.897385460712474","3131.7","7824909"
YR2010,"SYR","-0.124661050430133","3839.8","20720602"
YR2010,"TWN","NA","NA","NA"
YR2010,"TJK","2.20194683511211","3620.1","7581696"
YR2010,"TZA","2.24003034423998","15670.5","45648525"
YR2010,"THA","-2.1451432754092","64239.2","66692024"
YR2010,"TMP","0.778686904102522","NA","1066409"
YR2010,"TGO","1.95607231541595","1958.5","6390851"
YR2010,"TON","0.441735186799549","NA","103947"
YR2010,"TTO","0.661314097512057","73.4","1328095"
YR2010,"TUN","0.53544524469908","2151.9","10547100"
YR2010,"TUR","-0.479620999673275","23233","72310416"
YR2010,"TKM","0.691856363848883","6084","5041995"
YR2010,"TCA","-2.12322201057742","NA","30993"
YR2010,"TUV","-2.02792464864765","NA","9827"
YR2010,"UGA","2.96564725832229","NA","33149417"
YR2010,"UKR","-0.98315921649534","9489.8","45870700"
YR2010,"ARE","5.72652038344699","620.8","8329453"
YR2010,"GBR","-0.6550637943101","23707.8","62766365"
YR2010,"USA","-0.0235643130749215","195599.9","309347057"
YR2010,"URY","-3.25784489390303","17806.4","3374414"
YR2010,"UZB","2.89182806570287","17439.4","28562400"
YR2010,"VUT","1.96136387300989","NA","236299"
YR2010,"VEN","1.15467897938598","25797.4","28995745"
YR2010,"VNM","0.142709918835109","58014.9","86932500"
YR2010,"VIR","-3.59012915065444","NA","106267"
YR2010,"WBG","2.06313133789236","NA","3811102"
YR2010,"YEM","1.91332266572643","4099.9","23591972"
YR2010,"ZMB","2.29435443918298","2457.2","13917439"
YR2010,"ZWE","2.09918499420687","5775.1","13973897"
,"","","",""
,"","","",""
,"","","",""
Data from database: World Development Indicators,"","","",""
Last Updated: 09/24/2015,"","","",""
